year,cases_diabetes_type1,cases_diabetes_type2,cases_diabetes_total,cases_depression,cases_alzheimer,cases_parkinsons,cases_obesity,cases_malign_tumor_colon_and_rectum,cases_malign_tumor_stomach,cases_malign_tumor_encephalus_and_other_cns_parts,cases_cerebrovascular_disease,cases_bacterial_food_intoxication,cases_brucelosis,cases_ulcers_gastritis_and_duodenitis,cases_hepatic_alcoholic_cirrhosis,cases_hepatic_cirrhosis,cases_cirrhosis_total,cases_arterial_hypertension,cases_alcoholic_liver_disease,total_reported_cases,population_year,cases_source,rate_cases_diabetes_type1,rate_cases_diabetes_type2,rate_cases_diabetes_total,rate_cases_depression,rate_cases_alzheimer,rate_cases_parkinsons,rate_cases_obesity,rate_cases_malign_tumor_colon_and_rectum,rate_cases_malign_tumor_stomach,rate_cases_malign_tumor_encephalus_and_other_cns_parts,rate_cases_cerebrovascular_disease,rate_cases_bacterial_food_intoxication,rate_cases_brucelosis,rate_cases_ulcers_gastritis_and_duodenitis,rate_cases_hepatic_alcoholic_cirrhosis,rate_cases_hepatic_cirrhosis,rate_cases_cirrhosis_total,rate_cases_arterial_hypertension,rate_cases_alcoholic_liver_disease,Unnamed: 0,total_kcal,pct_kcal_unprocessed,pct_kcal_ingredients,pct_kcal_processed,pct_kcal_ultra_processed
1984,,,54637.0,,,,,,,,,,3260,,,1806.0,1806.0,,,11965828.0,74707346,https://epidemiologia.salud.gob.mx/anuario/1984/morbilidad/nacional/casos_nuevos_enfermedades_grupo_edad_fuente_notificacion.pdf,,,73.1347088678535,,,,,,,,,,4.363694033515793,,,2.41743295230967,2.41743295230967,,,0,2428.8,69.8,14.0,5.7,10.5
1989,,,125619.0,,,,,,,,,48074.0,4025,,,3083.0,3083.0,215557.0,,16207862.0,82889981,https://epidemiologia.salud.gob.mx/anuario/1989/morbilidad/nacional/casos_nuevos_enfermedad_grupo_edad_fuente_notificacion.pdf,,,151.5490756355705,,,,,,,,,57.99735917420467,4.855834144780417,,,3.71938799213864,3.71938799213864,260.05193558917574,,1,2296.4,67.7,12.8,5.6,13.9
1992,,,181503.0,,,,,,,,,49598.0,4012,,,11421.0,11421.0,249328.0,,,87753131,https://epidemiologia.salud.gob.mx/anuario/1992/morbilidad/nacional/distribucion_casos_nuevos_grupo_edad_fuente_notificacion.pdf,,,206.83364562798337,,,,,,,,,56.51992063964076,4.571916641925859,,,13.014920231165314,13.014920231165314,284.12433511916515,,2,2174.9,69.0,12.5,5.4,13.2
1994,,,184130.0,,,,,,,,,39476.0,4083,,,11693.0,11693.0,268335.0,,,90953505,https://epidemiologia.salud.gob.mx/anuario/1994/morbilidad/nacional/distribucion_casos_nuevos_enfermedades_fuente_notificacion.pdf,,,202.4440949252038,,,,,,,,,43.402395542645664,4.489106824415398,,,12.856019127575124,12.856019127575124,295.02436437166443,,3,2195.0,67.7,13.2,5.1,14.0
1996,,249774.0,249774.0,,,,,,,,38578.0,48267.0,5324,,,11670.0,11670.0,403582.0,,32652698.0,94005638,https://epidemiologia.salud.gob.mx/anuario/1996/morbilidad/nacional/distribucion_casos_nuevos_enfermedades_grupo_edad.pdf,,265.70108486471844,265.70108486471844,,,,,,,,41.03796412721543,51.34479274530321,5.663490098327933,,,12.414149032210174,12.414149032210174,429.3168033176904,,4,2149.7,68.5,13.3,4.9,13.2
1998,,336967.0,336967.0,,,,,,,,31372.0,54602.0,3550,,,14847.0,14847.0,490850.0,,38616769.0,96799183,https://epidemiologia.salud.gob.mx/anuario/1998/morbilidad/nacional/distribucion_casos_nuevos_enfermedades_grupo_edad.pdf,,348.1093430303022,348.1093430303022,,,,,,,,32.4093644468053,56.407500877357606,3.667386324944499,,,15.33793937083126,15.33793937083126,507.0807260842274,,5,2076.6,66.8,12.1,5.3,15.8
2000,3955.0,287180.0,291135.0,,,,,,,,34574.0,31665.0,2171,1280268.0,,12924.0,12924.0,400693.0,9248.0,46326006.0,99368858,https://epidemiologia.salud.gob.mx/anuario/2000/morbilidad/nacional/distribucion_casos_nuevos_enfermedad_fuente_notificacion.pdf,3.980120210297677,289.0040257884417,292.98414599873934,,,,,,,,34.793597004003004,31.86612047005713,2.1847891217588513,1288.3996312003503,,13.0060868768362,13.0060868768362,403.2380044057667,9.306738736999474,6,2199.5,65.2,13.3,5.2,16.3
2002,6337.0,315948.0,322285.0,,,,,,,,37156.0,21659.0,2851,1447260.0,,13656.0,13656.0,428730.0,10260.0,47055196.0,102167274,https://epidemiologia.salud.gob.mx/anuario/2002/morbilidad/nacional/distribucion_casos_nuevos_enfermedad_fuente_notificacion.pdf,6.202573242778309,309.24579626153087,315.44836950430914,,,,,,,,36.367809911420366,21.199547714271013,2.7905217476978,1416.55927905055,,13.366315323241375,13.366315323241375,419.6353521187225,10.04235465849857,7,2111.4,65.4,11.9,5.5,17.2
2004,13116.0,404562.0,417678.0,,,,,,,,36804.0,39947.0,2730,1438778.0,,,,558139.0,10718.0,42594791.0,104970581,https://epidemiologia.salud.gob.mx/anuario/2004/morbilidad/nacional/distribucion_casos_nuevos_enfermedad_fuente_notificacion.pdf,12.49492941265134,385.4051260324071,397.90005544505846,,,,,,,,35.06125206642421,38.05542430978828,2.600728674636944,1370.648791588569,,,,531.7099273747947,10.210479829581969,8,1692.9,67.1,7.9,5.4,19.5
2006,15220.0,394360.0,409580.0,,,,,,,,32355.0,37987.0,1870,1491309.0,,,,521486.0,12383.0,39789594.0,107885646,https://epidemiologia.salud.gob.mx/anuario/2006/morbilidad/nacional/distribucion_casos_nuevos_enfermedad_fuente_notificacion.pdf,14.107530115730132,365.53518899075783,379.642719106488,,,,,,,,29.99008783800581,35.21043012524576,1.7333167750601408,1382.305297592601,,,,483.3692148443918,11.477893917416964,9,1841.9,61.6,10.1,6.0,22.3
